2026-04-01 11:27:38 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 11:28:04 | usuario=databrev | acao=erro_carregar_lista | detalhe=connection to server at "127.0.0.1", port 5432 failed: fe_sendauth: no password supplied

2026-04-01 11:28:04 | usuario=databrev | acao=cadastrar_usuario_primeiro_acesso | detalhe=alvo=eduardo
2026-04-01 11:32:09 | usuario=databrev | acao=login_sucesso | detalhe=tipo=master
2026-04-01 11:32:17 | usuario=databrev | acao=cadastrar_usuario_primeiro_acesso | detalhe=alvo=eduardo
2026-04-01 11:32:30 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:32:34 | usuario=databrev | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:32:48 | usuario=databrev | acao=cadastrar_usuario | detalhe=alvo=volnei
2026-04-01 11:33:35 | usuario=volnei | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:33:36 | usuario=volnei | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:33:47 | usuario=eduardo | acao=login_falha | detalhe=credenciais_invalidas
2026-04-01 11:33:53 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:33:54 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:34:02 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:34:02 | usuario=eduardo | acao=inativar_cliente | detalhe=clientes=[4294967318]; afetados=1
2026-04-01 11:35:00 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:35:01 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:41:36 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:41:37 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:41:47 | usuario=eduardo | acao=remover_usuario | detalhe=alvo=eduardo
2026-04-01 11:48:26 | usuario=eduardo | acao=login_falha | detalhe=credenciais_invalidas
2026-04-01 11:48:32 | usuario=volnei | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:48:33 | usuario=volnei | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:48:47 | usuario=volnei | acao=editar_usuario | detalhe=alvo=volnei
2026-04-01 11:49:01 | usuario=volnei | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:49:02 | usuario=volnei | acao=carregar_lista | detalhe=quantidade=263
2026-04-01 11:49:13 | usuario=volnei | acao=cadastrar_usuario | detalhe=alvo=eduardo
2026-04-01 11:49:24 | usuario=eduardo | acao=login_sucesso | detalhe=tipo=local
2026-04-01 11:49:25 | usuario=eduardo | acao=carregar_lista | detalhe=quantidade=263
